id,inventory_units
202321-65142,57.66528011
202321-81921,154.670045
202321-93765,93.17170761
202321-138180,41.57033329
202321-143115,156.2882653
202321-201348,45.85370782
202321-213192,74.96646295
202321-214179,44.63925218
202321-230958,58.71277357
202321-231945,111.8908221
202321-247737,48.29102749
202321-7896,62.7791191
202321-8883,10.84937268
202321-14805,57.26802858
202321-51324,21.40262948
202321-57246,28.68566163
202321-86856,11.4321347
202321-87843,196.4919981
202321-92778,57.92247731
202321-105609,33.31716994
202321-109557,57.52517507
202321-119427,39.32049094
202321-158907,32.98176684
202321-167790,100.9253179
202321-171738,52.64142436
202321-172725,18.15903735
202321-175686,51.12591632
202321-177660,33.47085718
202321-234906,0
202321-236880,39.06483812
202321-237867,49.7488232
202321-238854,64.56344157
202321-239841,55.14457587
202321-9870,27.57201697
202321-10857,66.41636386
202321-11844,3.578368851
202321-12831,15.64286056
202321-127323,31.28732993
202321-129297,15.80550831
202321-130284,36.59504938
202321-157920,167.0142405
202321-190491,23.11568998
202321-191478,83.87407183
202321-192465,86.20580794
202321-204309,77.54262642
202321-211218,43.6645191
202321-221088,6.888353264
202321-222075,12.22217279
202321-24675,98.43519171
202321-45402,123.7711509
202321-46389,63.41739371
202321-48363,74.25343859
202321-80934,40.7999708
202321-112518,129.0089086
202321-240828,69.18498799
202321-242802,64.53644713
202321-30597,60.6927681
202321-32571,17.78226512
202321-43428,31.06837423
202321-59220,51.6361361
202321-62181,60.83551264
202321-64155,79.2014621
202321-73038,217.2027557
202321-75012,87.87413986
202321-77973,0
202321-83895,68.94226614
202321-89817,61.85125053
202321-94752,95.9962598
202321-99687,64.0683667
202321-107583,75.30348172
202321-114492,101.3171525
202321-116466,80.37087271
202321-148050,12.51966318
202321-155946,106.3829165
202321-169764,16.92890896
202321-182595,2.937538991
202321-183582,40.54985803
202321-184569,31.33529216
202321-195426,44.93412479
202321-196413,76.43412563
202321-197400,127.0300051
202321-226023,177.8343982
202321-233919,2.029971186
202321-235893,202.4634236
202321-33558,106.7395056
202321-37506,26.8674595
202321-41454,183.9408518
202321-82908,51.01825948
202321-91791,45.17696993
202321-163842,178.8040494
202321-219114,30.97218827
202321-220101,51.9483385
202321-165816,19.38850995
202321-187530,52.40036147
202321-193452,41.93224992
202321-205296,34.56318738
202322-6909,82.98880753
202322-17766,57.79868361
202322-25662,74.33414304
202322-58233,51.03633116
202322-65142,59.06830456
202322-81921,158.1162996
202322-93765,95.26205955
202322-138180,42.22410928
202322-143115,152.1462055
202322-201348,42.72338221
202322-213192,78.53192509
202322-214179,46.26206948
202322-230958,60.02683139
202322-231945,114.5307663
202322-247737,49.37407712
202322-7896,60.89340475
202322-8883,11.44435012
202322-14805,62.70996137
202322-51324,22.44558804
202322-57246,30.92796513
202322-86856,12.08853535
202322-87843,206.8593094
202322-92778,61.41467312
202322-105609,35.30464344
202322-109557,56.79837322
202322-119427,41.31476798
202322-158907,34.89498958
202322-167790,106.4558835
202322-171738,58.64876575
202322-172725,20.89655796
202322-175686,54.08282588
202322-177660,36.16618598
202322-234906,0
202322-236880,49.02471156
202322-237867,47.27272567
202322-238854,67.42501834
202322-239841,59.67078763
202322-9870,28.32102149
202322-10857,71.57157894
202322-11844,3.513912171
202322-12831,15.79465226
202322-127323,31.08526161
202322-129297,15.58390626
202322-130284,36.25461054
202322-157920,165.1065098
202322-190491,22.61302725
202322-191478,83.1518024
202322-192465,85.53223496
202322-204309,62.80375186
202322-211218,43.31371224
202322-221088,5.832544819
202322-222075,12.99599621
202322-24675,103.7835168
202322-45402,127.2842197
202322-46389,64.57122542
202322-48363,75.36566806
202322-80934,39.67288457
202322-112518,131.778837
202322-240828,70.95962078
202322-242802,65.84476127
202322-30597,60.63244133
202322-32571,17.74300004
202322-43428,31.48467101
202322-59220,53.87714959
202322-62181,59.01525796
202322-64155,78.92666142
202322-73038,216.204568
202322-75012,87.89562964
202322-77973,0
202322-83895,68.76495432
202322-89817,63.34036974
202322-94752,95.63325965
202322-99687,63.82774789
202322-107583,75.05673171
202322-114492,101.2044948
202322-116466,76.3394722
202322-148050,12.77057399
202322-155946,80.07466831
202322-169764,16.85625935
202322-182595,2.928088233
202322-183582,39.7463011
202322-184569,33.26239328
202322-195426,44.78938146
202322-196413,76.15924659
202322-197400,126.6258936
202322-226023,177.5634909
202322-233919,1.99881161
202322-235893,223.4423198
202322-33558,99.27432203
202322-37506,26.70796479
202322-41454,170.2399089
202322-82908,50.58869854
202322-91791,41.23668034
202322-163842,165.737077
202322-219114,28.91099014
202322-220101,48.09257358
202322-165816,25.06176582
202322-187530,65.55660494
202322-193452,52.46762323
202322-205296,49.39883317
202323-6909,75.56292721
202323-17766,52.68232974
202323-25662,80.76866044
202323-58233,50.67257985
202323-65142,56.51219996
202323-81921,151.2169439
202323-93765,91.10655978
202323-138180,40.13003483
202323-143115,138.8920899
202323-201348,37.83364229
202323-213192,75.97470144
202323-214179,44.66114793
202323-230958,57.40825166
202323-231945,109.5482727
202323-247737,47.2203003
202323-7896,58.00035782
202323-8883,11.75374443
202323-14805,65.94857993
202323-51324,22.86580525
202323-57246,32.28771165
202323-86856,12.41144867
202323-87843,212.1864905
202323-92778,63.21120972
202323-105609,36.26133011
202323-109557,54.71792483
202323-119427,42.46576545
202323-158907,35.83004365
202323-167790,109.2420811
202323-171738,61.66949823
202323-172725,22.40503988
202323-175686,55.53136123
202323-177660,37.37157185
202323-234906,0
202323-236880,56.2376551
202323-237867,45.20773031
202323-238854,68.76969461
202323-239841,62.51115077
202323-9870,23.33188739
202323-10857,61.6363738
202323-11844,2.851694602
202323-12831,12.91994666
202323-127323,25.32129016
202323-129297,12.64926663
202323-130284,29.47800116
202323-157920,134.1793514
202323-190491,18.15588264
202323-191478,67.61446146
202323-192465,69.55496695
202323-204309,57.76848459
202323-211218,35.22286316
202323-221088,5.131161786
202323-222075,11.19502619
202323-24675,106.6357271
202323-45402,127.6372434
202323-46389,64.19214713
202323-48363,74.88710713
202323-80934,39.04734482
202323-112518,131.2568402
202323-240828,70.95443652
202323-242802,65.57646947
202323-30597,60.2156068
202323-32571,17.61755106
202323-43428,31.39852708
202323-59220,54.70830534
202323-62181,57.04605859
202323-64155,78.34809066
202323-73038,214.5481193
202323-75012,87.20089392
202323-77973,0
202323-83895,68.25535876
202323-89817,62.27137659
202323-94752,94.9352984
202323-99687,63.34963074
202323-107583,74.5055226
202323-114492,100.5318096
202323-116466,73.17119533
202323-148050,12.75852948
202323-155946,63.61997392
202323-169764,16.72826616
202323-182595,2.906576868
202323-183582,38.80913291
202323-184569,33.98589637
202323-195426,44.46032907
202323-196413,75.59678248
202323-197400,125.6965099
202323-226023,176.3214249
202323-233919,1.989413575
202323-235893,240.3912339
202323-33558,96.06421443
202323-37506,26.67880333
202323-41454,164.2349113
202323-82908,51.69510522
202323-91791,39.23810692
202323-163842,159.9137312
202323-219114,28.09733538
202323-220101,46.38566812
202323-165816,25.88721482
202323-187530,66.00591012
202323-193452,52.82851554
202323-205296,46.12555014
202324-6909,73.77294446
202324-17766,54.73699403
202324-25662,90.83476649
202324-58233,52.55026633
202324-65142,57.43028897
202324-81921,153.6624437
202324-93765,92.58006744
202324-138180,40.5365246
202324-143115,135.0546333
202324-201348,36.10599437
202324-213192,77.62883115
202324-214179,45.68085534
202324-230958,58.33673609
202324-231945,111.3215362
202324-247737,47.98401531
202324-7896,54.3419926
202324-8883,11.74588596
202324-14805,67.01163826
202324-51324,22.68283098
202324-57246,32.7327835
202324-86856,12.40365385
202324-87843,212.0112224
202324-92778,63.3133399
202324-105609,36.24097144
202324-109557,51.55671709
202324-119427,42.43078019
202324-158907,35.80796392
202324-167790,109.1612639
202324-171738,62.32016447
202324-172725,22.90953464
202324-175686,55.49715024
202324-177660,37.42013462
202324-234906,0
202324-236880,60.59791997
202324-237867,43.15776851
202324-238854,68.4865141
202324-239841,63.58336898
202324-9870,32.68402557
202324-10857,89.46551018
202324-11844,3.973588419
202324-12831,18.04544431
202324-127323,35.35237804
202324-129297,17.62265758
202324-130284,41.09116492
202324-157920,187.0218115
202324-190491,25.00980396
202324-191478,94.2526106
202324-192465,96.95824868
202324-204309,76.54435083
202324-211218,49.10018642
202324-221088,6.893554316
202324-222075,16.37518208
202324-24675,108.0394852
202324-45402,126.28081
202324-46389,63.0329405
202324-48363,73.57129835
202324-80934,38.28987537
202324-112518,129.0755936
202324-240828,69.99702993
202324-242802,64.48423658
202324-30597,61.70945048
202324-32571,18.0541621
202324-43428,32.2163399
202324-59220,56.70544217
202324-62181,56.95687647
202324-64155,80.28354046
202324-73038,219.8323939
202324-75012,89.36327898
202324-77973,0
202324-83895,69.94200934
202324-89817,64.03258395
202324-94752,97.28020057
202324-99687,64.91210454
202324-107583,76.34611841
202324-114492,103.039651
202324-116466,73.11863102
202324-148050,13.09742662
202324-155946,55.18351866
202324-169764,17.14054489
202324-182595,2.978381743
202324-183582,39.12953032
202324-184569,35.30234691
202324-195426,45.55868917
202324-196413,77.46403518
202324-197400,128.8019278
202324-226023,180.6906704
202324-233919,2.037389317
202324-235893,262.8236949
202324-33558,99.37799475
202324-37506,28.02822562
202324-41454,169.531386
202324-82908,56.03839013
202324-91791,39.97585931
202324-163842,165.0781527
202324-219114,29.20238588
202324-220101,47.87446735
202324-165816,18.86322076
202324-187530,47.1396023
202324-193452,37.7287266
202324-205296,34.44361049
202325-6909,68.24970694
202325-17766,51.77811314
202325-25662,94.25035619
202325-58233,50.77796336
202325-65142,54.87641506
202325-81921,146.8271433
202325-93765,88.46187897
202325-138180,38.51400577
202325-143115,123.7875573
202325-201348,32.79910531
202325-213192,74.37160656
202325-214179,43.84822819
202325-230958,55.7417748
202325-231945,106.3698357
202325-247737,45.84956863
202325-7896,53.66706338
202325-8883,12.25504723
202325-14805,70.73063683
202325-51324,23.50046913
202325-57246,34.57519391
202325-86856,12.94126026
202325-87843,221.1910542
202325-92778,66.19210109
202325-105609,37.81219561
202325-109557,50.95409804
202325-119427,44.27136273
202325-158907,37.36003723
202325-167790,113.889887
202325-171738,65.36250843
202325-172725,24.19792048
202325-175686,57.90265941
202325-177660,39.06465623
202325-234906,0
202325-236880,66.64128279
202325-237867,43.74622294
202325-238854,71.32314466
202325-239841,67.37397782
202325-9870,30.54208211
202325-10857,85.89500687
202325-11844,3.705993376
202325-12831,16.84253361
202325-127323,33.02045246
202325-129297,16.43425302
202325-130284,38.32702257
202325-157920,174.4376657
202325-190491,23.06961115
202325-191478,87.91244309
202325-192465,90.43613533
202325-204309,74.22113049
202325-211218,45.79740388
202325-221088,6.545528581
202325-222075,15.90549348
202325-24675,107.8328371
202325-45402,123.1506601
202325-46389,61.06767332
202325-48363,71.33321817
202325-80934,37.11511424
202325-112518,125.199314
202325-240828,68.06617758
202325-242802,62.54784575
202325-30597,59.58978009
202325-32571,17.4340056
202325-43428,31.12058544
202325-59220,55.07659174
202325-62181,53.62136975
202325-64155,77.52419006
202325-73038,212.2731918
202325-75012,86.29057437
202325-77973,0
202325-83895,67.53805003
202325-89817,61.75425849
202325-94752,93.93670128
202325-99687,62.68041029
202325-107583,73.72209299
202325-114492,99.5060068
202325-116466,69.35493271
202325-148050,12.6537429
202325-155946,47.33790896
202325-169764,16.55120407
202325-182595,2.876014383
202325-183582,37.18944533
202325-184569,34.31039508
202325-195426,43.99283121
202325-196413,74.80155558
202325-197400,124.3750226
202325-226023,174.4830009
202325-233919,1.967608542
202325-235893,267.5803451
202325-33558,97.22946922
202325-37506,27.62803255
202325-41454,165.6147559
202325-82908,57.08541706
202325-91791,38.56545858
202325-163842,161.2654309
202325-219114,28.70767569
202325-220101,46.7618102
202325-165816,15.86941326
202325-187530,39.03360633
202325-193452,31.24100429
202325-205296,27.7966051
202326-6909,71.57083133
202326-17766,55.98037207
202326-25662,108.579465
202326-58233,54.98692496
202326-65142,59.05770477
202326-81921,158.0141531
202326-93765,95.20194115
202326-138180,41.22502374
202326-143115,128.098012
202326-201348,33.90551874
202326-213192,80.13971979
202326-214179,47.33963987
202326-230958,59.98883615
202326-231945,114.4743539
202326-247737,49.34292585
202326-7896,47.49546966
202326-8883,11.36009206
202326-14805,66.09911633
202326-51324,21.639988
202326-57246,32.39300539
202326-86856,11.9962008
202326-87843,205.0363459
202326-92778,61.47178766
202326-105609,35.05096354
202326-109557,44.94579533
202326-119427,41.03811678
202326-158907,34.63175992
202326-167790,105.5723336
202326-171738,60.73934773
202326-172725,22.5803558
202326-175686,53.67422961
202326-177660,36.21820741
202326-234906,0
202326-236880,64.13453952
202326-237867,39.82912809
202326-238854,66.05037711
202326-239841,63.3097289
202326-9870,28.60889905
202326-10857,82.09707975
202326-11844,3.468921953
202326-12831,15.76878884
202326-127323,30.94736474
202326-129297,15.38233245
202326-130284,35.87583837
202326-157920,163.2809738
202326-190491,21.37106521
202326-191478,82.29005599
202326-192465,84.65235221
202326-204309,68.8963175
202326-211218,42.86847101
202326-221088,6.075083003
202326-222075,15.40881901
202326-24675,103.8581421
202326-45402,115.9593527
202326-46389,57.17240436
202326-48363,66.83643935
202326-80934,34.77574548
202326-112518,117.3265856
202326-240828,63.9132244
202326-242802,58.61458948
202326-30597,59.65132168
202326-32571,17.45203107
202326-43428,31.15584925
202326-59220,55.29776799
202326-62181,52.36303101
202326-64155,77.60389397
202326-73038,212.4906238
202326-75012,86.37949904
202326-77973,0
202326-83895,67.60749166
202326-89817,61.84570335
202326-94752,94.03327667
202326-99687,62.7446767
202326-107583,73.79788819
202326-114492,99.61093692
202326-116466,68.55464721
202326-148050,12.66858666
202326-155946,43.72083421
202326-169764,16.56817044
202326-182595,2.878971273
202326-183582,36.65237719
202326-184569,34.45222769
202326-195426,44.03806116
202326-196413,74.87845745
202326-197400,124.5029017
202326-226023,174.662953
202326-233919,1.969578548
202326-235893,279.807435
202326-33558,85.85712052
202326-37506,24.48362662
202326-41454,146.0883309
202326-82908,52.20535724
202326-91791,33.61313261
202326-163842,142.2520089
202326-219114,25.47011792
202326-220101,41.24318651
202326-165816,17.27280172
202326-187530,41.95437159
202326-193452,33.57867344
202326-205296,30.32974994
202327-6909,65.52445421
202327-17766,52.21128457
202327-25662,107.4327987
202327-58233,51.57011663
202327-65142,55.19710498
202327-81921,147.684695
202327-93765,88.97854638
202327-138180,38.33247974
202327-143115,115.3937059
202327-201348,30.69883302
202327-213192,74.9467238
202327-214179,44.34374359
202327-230958,56.06733829
202327-231945,106.9911144
202327-247737,46.11735604
202327-7896,46.71466342
202327-8883,11.61504648
202327-14805,67.96829726
202327-51324,21.98684324
202327-57246,33.42579195
202327-86856,12.26543033
202327-87843,209.6375614
202327-92778,62.95693564
202327-105609,35.83762212
202327-109557,43.92065624
202327-119427,41.9591756
202327-158907,35.40899829
202327-167790,107.9415669
202327-171738,62.17530004
202327-172725,23.17060715
202327-175686,54.87883831
202327-177660,37.03299524
202327-234906,0
202327-236880,67.37158694
202327-237867,40.27399945
202327-238854,67.49816612
202327-239841,65.51139392
202327-9870,26.23906257
202327-10857,76.42682981
202327-11844,3.180712346
202327-12831,14.45975139
202327-127323,28.40806257
202327-129297,14.10410929
202327-130284,32.89526281
202327-157920,149.7154317
202327-190491,19.40638052
202327-191478,75.45337367
202327-192465,77.6194101
202327-204309,64.19806534
202327-211218,39.30694759
202327-221088,5.593109624
202327-222075,14.5487561
202327-24675,113.6256591
202327-45402,124.0986242
202327-46389,60.87887075
202327-48363,71.22059182
202327-80934,37.05809434
202327-112518,125.0314758
202327-240828,68.21771419
202327-242802,62.46387874
202327-30597,61.95351328
202327-32571,18.12558826
202327-43428,32.35921202
202327-59220,57.51963835
202327-62181,53.08484184
202327-64155,80.59887005
202327-73038,220.6911063
202327-75012,89.71311805
202327-77973,0
202327-83895,70.21667495
202327-89817,64.22206277
202327-94752,97.66231405
202327-99687,65.16613999
202327-107583,76.64597863
202327-114492,103.4561457
202327-116466,70.57014545
202327-148050,13.15804583
202327-155946,43.06455777
202327-169764,17.20757573
202327-182595,2.990079745
202327-183582,37.48996546
202327-184569,35.83505729
202327-195426,45.73762715
202327-196413,77.76825008
202327-197400,129.3078579
202327-226023,181.4038626
202327-233919,2.045602608
202327-235893,301.3538131
202327-33558,97.67347242
202327-37506,27.89904382
202327-41454,166.0703365
202327-82908,61.23048025
202327-91791,37.77576769
202327-163842,161.7093211
202327-219114,29.10898921
202327-220101,46.87898231
202327-165816,18.61190163
202327-187530,44.75707867
202327-193452,35.82185298
202327-205296,32.07437543
202328-6909,64.56982677
202328-17766,52.35099826
202328-25662,112.9277013
202328-58233,51.75817509
202328-65142,55.29187102
202328-81921,147.9382342
202328-93765,89.13130126
202328-138180,38.21090186
202328-143115,111.6670629
202328-201348,29.99682399
202328-213192,75.09748988
202328-214179,44.48925281
202328-230958,56.1635925
202328-231945,107.1747928
202328-247737,46.19652851
202328-7896,44.30080099
202328-8883,11.3754744
202328-14805,66.83341053
202328-51324,21.40545468
202328-57246,32.99769731
202328-86856,12.01244356
202328-87843,205.3134952
202328-92778,61.75240582
202328-105609,35.09843763
202328-109557,41.2824281
202328-119427,41.09371799
202328-158907,34.67865246
202328-167790,105.7151399
202328-171738,60.92668955
202328-172725,22.73733437
202328-175686,53.74690794
202328-177660,36.26972677
202328-234906,0
202328-236880,67.29372507
202328-237867,39.17599763
202328-238854,66.08813244
202328-239841,64.84249231
202328-9870,31.05288761
202328-10857,91.44634407
202328-11844,3.763863133
202328-12831,17.11121709
202328-127323,33.65014945
202328-129297,16.68986821
202328-130284,38.92629586
202328-157920,177.1643052
202328-190491,22.7573886
202328-191478,89.28703095
202328-192465,91.85018957
202328-204309,76.21281638
202328-211218,46.51350236
202328-221088,6.605669982
202328-222075,17.65368733
202328-24675,116.6627814
202328-45402,124.7068932
202328-46389,60.90882962
202328-48363,71.2995175
202328-80934,37.09993297
202328-112518,125.1737482
202328-240828,68.38035438
202328-242802,62.53493798
202328-30597,61.24869821
202328-32571,17.91938632
202328-43428,31.99133946
202328-59220,56.90980365
202328-62181,51.25795077
202328-64155,79.68191898
202328-73038,218.1803209
202328-75012,88.69248232
202328-77973,0
202328-83895,69.41783929
202328-89817,63.49515105
202328-94752,96.55123688
202328-99687,64.42474974
202328-107583,75.77399852
202328-114492,102.2794554
202328-116466,69.33349438
202328-148050,13.00850112
202328-155946,41.14839236
202328-169764,17.01180716
202328-182595,2.956062434
202328-183582,36.51270628
202328-184569,35.4526648
202328-195426,45.21728281
202328-196413,76.88350216
202328-197400,127.8367584
202328-226023,179.3401061
202328-233919,2.022327811
202328-235893,307.1252165
202328-33558,105.7540789
202328-37506,30.2286632
202328-41454,179.7154986
202328-82908,68.0883634
202328-91791,40.43527288
202328-163842,174.9961693
202328-219114,31.6562735
202328-220101,50.72542325
202328-165816,18.79306243
202328-187530,44.8339992
202328-193452,35.88341723
202328-205296,32.29369476
202329-6909,60.51513429
202329-17766,49.68168263
202329-25662,111.7077541
202329-58233,49.19335231
202329-65142,52.49550622
202329-81921,140.4563129
202329-93765,84.62351874
202329-138180,36.1100152
202329-143115,102.6481988
202329-201348,27.93458332
202329-213192,71.30957555
202329-214179,42.28544313
202329-230958,53.32313962
202329-231945,101.7544674
202329-247737,43.86015621
202329-7896,41.1507058
202329-8883,10.85147342
202329-14805,63.93484423
202329-51324,20.30466583
202329-57246,31.6952451
202329-86856,11.45910115
202329-87843,195.8558971
202329-92778,58.98941648
202329-105609,33.48166005
202329-109557,37.9436219
202329-119427,39.20077411
202329-158907,33.08121154
202329-167790,100.8454622
202329-171738,58.13546038
202329-172725,21.71321383
202329-175686,51.27110506
202329-177660,34.59915937
202329-234906,0
202329-236880,65.12620117
202329-237867,37.21638534
202329-238854,63.03489916
202329-239841,62.43637469
202329-9870,29.95354208
202329-10857,88.9245921
202329-11844,3.630473575
202329-12831,16.50493646
202329-127323,32.48677376
202329-129297,16.09836021
202329-130284,37.54677112
202329-157920,170.8857033
202329-190491,21.76630704
202329-191478,86.12275177
202329-192465,88.59507359
202329-204309,74.23990718
202329-211218,44.86509161
202329-221088,6.377516595
202329-222075,17.39952362
202329-24675,124.7092501
202329-45402,130.5457035
202329-46389,63.51525597
202329-48363,74.38888394
202329-80934,38.70785306
202329-112518,130.5990834
202329-240828,71.41433616
202329-242802,65.24536107
202329-30597,61.59957401
202329-32571,18.02204259
202329-43428,32.17468371
202329-59220,57.25882808
202329-62181,50.38033627
202329-64155,80.13838967
202329-73038,219.4301919
202329-75012,89.20057055
202329-77973,0
202329-83895,69.81551055
202329-89817,63.85754365
202329-94752,97.10434617
202329-99687,64.79381375
202329-107583,76.20808205
202329-114492,102.8654812
202329-116466,69.42693563
202329-148050,13.0830653
202329-155946,40.50114576
202329-169764,17.1092614
202329-182595,2.972996713
202329-183582,36.18703812
202329-184569,35.66799184
202329-195426,45.47631728
202329-196413,77.32394167
202329-197400,128.5690919
202329-226023,180.3674901
202329-233919,2.033913594
202329-235893,316.8957269
202329-33558,90.87024791
202329-37506,25.98135162
202329-41454,154.3657303
202329-82908,59.88990543
202329-91791,34.37140169
202329-163842,150.3120873
202329-219114,27.31484436
202329-220101,43.56615833
202329-165816,17.72732719
202329-187530,42.0233074
202329-193452,33.63384707
202329-205296,30.17955743
202330-6909,62.87204469
202330-17766,52.15663604
202330-25662,121.4486357
202330-58233,51.66470167
202330-65142,55.09966701
202330-81921,147.423972
202330-93765,88.82146341
202330-138180,37.73405965
202330-143115,104.5387478
202330-201348,28.88499445
202330-213192,74.8521677
202330-214179,44.41714611
202330-230958,55.96835685
202330-231945,106.8022322
202330-247737,46.03594034
202330-7896,41.12726197
202330-8883,11.0849327
202330-14805,65.44035288
202330-51324,20.63121559
202330-57246,32.57107351
202330-86856,11.70563297
202330-87843,200.0695497
202330-92778,60.3343185
202330-105609,34.20198667
202330-109557,37.483175
202330-119427,40.0441418
202330-158907,33.79292282
202330-167790,103.0150567
202330-171738,59.39360677
202330-172725,22.19332411
202330-175686,52.37415485
202330-177660,35.34357862
202330-234906,0
202330-236880,67.23688891
202330-237867,37.92081074
202330-238854,64.38622911
202330-239841,64.30901788
202330-9870,29.01545809
202330-10857,86.65383152
202330-11844,3.516723187
202330-12831,15.98784451
202330-127323,31.4942148
202330-129297,15.59395621
202330-130284,36.37035265
202330-157920,165.5314978
202330-190491,20.91901984
202330-191478,83.42434674
202330-192465,85.81920558
202330-204309,72.36812949
202330-211218,43.45937494
202330-221088,6.174938234
202330-222075,17.17107312
202330-24675,122.688347
202330-45402,125.8365292
202330-46389,61.01725881
202330-48363,71.49367802
202330-80934,37.2015251
202330-112518,125.5168426
202330-240828,68.68867151
202330-242802,62.70634677
202330-30597,61.56518142
202330-32571,18.01198085
202330-43428,32.15674118
202330-59220,57.23866614
202330-62181,49.23748495
202330-64155,80.09364562
202330-73038,219.3076741
202330-75012,89.15076692
202330-77973,0
202330-83895,69.77653012
202330-89817,63.82237567
202330-94752,97.05012943
202330-99687,64.75763616
202330-107583,76.16553243
202330-114492,102.8080818
